difficulty,tasks,rollout_accuracy,zero_of_3_rate,mixed_group_rate,three_of_3_rate,truncation_rate,parse_rate,mean_completion_tokens
1.0,4,0.833333,0.000000,0.250000,0.750000,0.000000,1.000000,238.500
1.5,11,0.303030,0.636364,0.090909,0.272727,0.000000,1.000000,222.000
2.0,45,0.429630,0.400000,0.377778,0.222222,0.014815,0.918519,369.733
2.5,41,0.186992,0.658537,0.292683,0.048780,0.016260,0.894309,426.561
3.0,158,0.154008,0.734177,0.208861,0.056962,0.025316,0.934599,583.249
3.5,224,0.168155,0.705357,0.214286,0.080357,0.020833,0.938988,610.824
4.0,519,0.163134,0.714836,0.225434,0.059730,0.026333,0.938985,648.969
4.5,678,0.160767,0.719764,0.224189,0.056047,0.032448,0.920354,711.138
5.0,1765,0.174693,0.690652,0.251558,0.057790,0.033617,0.917469,716.261
5.5,2031,0.188577,0.666174,0.272280,0.061546,0.031840,0.916954,729.958
6.0,2446,0.209866,0.644726,0.270646,0.084628,0.026847,0.921641,709.971
6.5,1151,0.236606,0.592528,0.321460,0.086012,0.032146,0.907617,714.388
7.0,1285,0.258885,0.571206,0.323735,0.105058,0.027497,0.907393,683.719
7.5,1100,0.298788,0.508182,0.373636,0.118182,0.026364,0.901212,676.044
8.0,1992,0.366131,0.432229,0.407129,0.160643,0.021419,0.881861,607.455
8.5,803,0.435035,0.312578,0.511831,0.175592,0.019510,0.874637,536.928
9.0,325,0.489231,0.193846,0.658462,0.147692,0.020513,0.896410,505.113
9.5,14,0.523810,0.142857,0.642857,0.214286,0.000000,0.880952,367.476
