step,eval_loss,benchmark,accuracy,parse_rate,truncated,total,mean_completion_tokens
500,0.3141248524,gsm8k,0.7172100076,0.9901440485,13,1319,186.8097
500,0.3141248524,gsm1k,0.6672199170,0.9809128631,23,1205,235.3145
500,0.3141248524,math,0.4266000000,0.8376000000,796,5000,593.0470
500,0.3141248524,mmlu_stem,0.4189660641,0.8131937837,240,3153,326.6105
1000,0.3080716431,gsm8k,0.7043214556,0.9855951478,19,1319,194.8067
1000,0.3080716431,gsm1k,0.6738589212,0.9867219917,16,1205,218.3137
1000,0.3080716431,math,0.4328000000,0.8662000000,647,5000,523.2876
1000,0.3080716431,mmlu_stem,0.4138915319,0.8173168411,175,3153,271.9512
1500,0.3045691550,gsm8k,0.7172100076,0.9901440485,13,1319,182.2911
1500,0.3045691550,gsm1k,0.6929460581,0.9875518672,15,1205,215.4373
1500,0.3045691550,math,0.4426000000,0.8644000000,653,5000,534.2788
1500,0.3045691550,mmlu_stem,0.4142086901,0.8074849350,202,3153,294.1475
2000,0.3010364175,gsm8k,0.7164518575,0.9893858984,14,1319,186.4496
2000,0.3010364175,gsm1k,0.6879668050,0.9900414938,12,1205,212.1145
2000,0.3010364175,math,0.4482000000,0.8670000000,642,5000,531.8626
2000,0.3010364175,mmlu_stem,0.4148430067,0.8246114811,158,3153,267.6226
2500,0.2981779575,gsm8k,0.7202426080,0.9901440485,13,1319,185.7255
2500,0.2981779575,gsm1k,0.6979253112,0.9867219917,16,1205,218.4929
2500,0.2981779575,math,0.4490000000,0.8710000000,629,5000,527.3238
2500,0.2981779575,mmlu_stem,0.4164287980,0.8138281002,204,3153,292.7856
3000,0.2958090901,gsm8k,0.7452615618,0.9848369977,21,1319,192.8362
3000,0.2958090901,gsm1k,0.7053941909,0.9875518672,15,1205,216.0116
3000,0.2958090901,math,0.4444000000,0.8792000000,587,5000,514.5940
3000,0.2958090901,mmlu_stem,0.4043767840,0.8138281002,201,3153,291.8918
3500,0.2936918139,gsm8k,0.7498104625,0.9825625474,23,1319,198.2767
3500,0.2936918139,gsm1k,0.6937759336,0.9933609959,8,1205,210.4888
3500,0.2936918139,math,0.4506000000,0.8792000000,580,5000,518.3912
3500,0.2936918139,mmlu_stem,0.4123057406,0.8106565176,201,3153,294.2826
4000,0.2927826643,gsm8k,0.7505686126,0.9878695982,16,1319,187.5694
4000,0.2927826643,gsm1k,0.6921161826,0.9900414938,12,1205,212.3535
4000,0.2927826643,math,0.4546000000,0.8848000000,558,5000,505.5782
4000,0.2927826643,mmlu_stem,0.4157944814,0.8154138915,185,3153,283.3663
4500,0.2925306559,gsm8k,0.7558756634,0.9878695982,16,1319,189.2191
4500,0.2925306559,gsm1k,0.7012448133,0.9917012448,10,1205,211.7220
4500,0.2925306559,math,0.4562000000,0.8838000000,560,5000,512.2644
4500,0.2925306559,mmlu_stem,0.4186489058,0.8211227402,169,3153,275.5836
4593,0.2924940586,gsm8k,0.7566338135,0.9878695982,16,1319,188.4996
4593,0.2924940586,gsm1k,0.6987551867,0.9883817427,14,1205,216.5419
4593,0.2924940586,math,0.4564000000,0.8862000000,547,5000,507.0046
4593,0.2924940586,mmlu_stem,0.4192832223,0.8109736759,203,3153,293.2328
