configuration,benchmark,total,both_correct,greedy_only,sampling_only,both_wrong,greedy_correct,sampling_correct,delta_accuracy,delta_ci95_low,delta_ci95_high,mcnemar_exact_p,holm_adjusted_p
instruct,gsm8k,1319,855,130,89,245,985,944,-0.0310841546626232,-0.05301048605075413,-0.009157823274492261,0.00673823441845581,0.04716764092919067
instruct,gsm1k,1205,713,143,80,269,856,793,-0.05228215767634855,-0.07639176874956549,-0.02817254660313161,2.944047010387796e-05,0.0003827261113504135
instruct,math,5000,2205,490,441,1864,2695,2646,-0.0098,-0.02175773367102646,0.002157733671026462,0.11563915124678711,0.5781957562339356
instruct,mmlu_stem,3153,1373,427,428,925,1800,1801,0.0003171582619727244,-0.017859543329471518,0.018493859853416963,1.0,1.0
base_zero_shot,gsm8k,1319,616,199,116,388,815,732,-0.06292645943896892,-0.08908032779472477,-0.03677259108321306,3.389653301337462e-06,4.793045878399238e-05
base_zero_shot,gsm1k,1205,521,146,130,408,667,651,-0.013278008298755186,-0.04028998424293765,0.013733967645427276,0.36660967092161034,0.7332193418432207
base_zero_shot,math,5000,829,645,596,2930,1474,1425,-0.0098,-0.023606637336701503,0.004006637336701504,0.17299680931405076,0.6486980702772667
base_zero_shot,mmlu_stem,3153,1326,343,247,1237,1669,1573,-0.030447193149381543,-0.045509089666307415,-0.015385296632455669,8.889477890741847e-05,0.0010667373468890217
base_zero_shot_cot,gsm8k,1319,424,229,167,499,653,591,-0.04700530705079606,-0.07646680892054551,-0.017543805181046607,0.0021346621403010714,0.019211959262709643
base_zero_shot_cot,gsm1k,1205,366,217,155,467,583,521,-0.051452282157676346,-0.08268935598819213,-0.020215208327160557,0.001528891856781477,0.01528891856781477
base_zero_shot_cot,math,5000,890,586,508,3016,1476,1398,-0.0156,-0.02855845043378258,-0.0026415495662174184,0.019870717725023794,0.11922430635014276
base_zero_shot_cot,mmlu_stem,3153,964,570,380,1239,1534,1344,-0.06026006977481763,-0.07930419126607502,-0.04121594828356025,7.653887109313264e-10,1.2246219374901222e-08
base_few_shot_cot,gsm8k,1319,665,181,114,359,846,779,-0.05079605761940864,-0.07617085315493827,-0.02542126208387901,0.0001143709067359141,0.001258079974095055
base_few_shot_cot,gsm1k,1205,545,156,110,394,701,655,-0.038174273858921165,-0.06461489042764663,-0.011733657290195692,0.005694009004710767,0.04555207203768614
base_few_shot_cot,math,5000,1059,545,401,2995,1604,1460,-0.0288,-0.040830331194908975,-0.016769668805091023,3.1953639189328252e-06,4.793045878399238e-05
base_few_shot_cot,mmlu_stem,3153,861,473,430,1389,1334,1291,-0.01363780526482715,-0.03231170017149364,0.005036089641839336,0.16217451756931667,0.6486980702772667
