configuration,benchmark,source,total,greedy_correct,sampling_correct,greedy_accuracy,sampling_accuracy,delta_accuracy
instruct,gsm8k,openai/gsm8k:main,1319,985,944,0.7467778620166793,0.7156937073540561,-0.0310841546626232
instruct,gsm1k,ScaleAI/gsm1k,1205,856,793,0.7103734439834025,0.6580912863070539,-0.05228215767634855
instruct,math,EleutherAI/hendrycks_math:algebra,1187,883,864,0.7438921651221567,0.7278854254422915,-0.016006739679865205
instruct,math,EleutherAI/hendrycks_math:counting_&_probability,474,211,216,0.4451476793248945,0.45569620253164556,0.010548523206751054
instruct,math,EleutherAI/hendrycks_math:geometry,479,215,217,0.4488517745302714,0.453027139874739,0.0041753653444676405
instruct,math,EleutherAI/hendrycks_math:intermediate_algebra,903,309,301,0.34219269102990035,0.3333333333333333,-0.008859357696566999
instruct,math,EleutherAI/hendrycks_math:number_theory,540,253,253,0.4685185185185185,0.4685185185185185,0.0
instruct,math,EleutherAI/hendrycks_math:prealgebra,871,617,583,0.7083811710677382,0.669345579793341,-0.03903559127439724
instruct,math,EleutherAI/hendrycks_math:precalculus,546,207,212,0.3791208791208791,0.3882783882783883,0.009157509157509158
instruct,mmlu_stem,cais/mmlu:abstract_algebra,100,43,51,0.43,0.51,0.08
instruct,mmlu_stem,cais/mmlu:anatomy,135,76,76,0.562962962962963,0.562962962962963,0.0
instruct,mmlu_stem,cais/mmlu:astronomy,152,92,99,0.6052631578947368,0.6513157894736842,0.046052631578947366
instruct,mmlu_stem,cais/mmlu:college_biology,144,84,83,0.5833333333333334,0.5763888888888888,-0.006944444444444444
instruct,mmlu_stem,cais/mmlu:college_chemistry,100,31,39,0.31,0.39,0.08
instruct,mmlu_stem,cais/mmlu:college_computer_science,100,49,45,0.49,0.45,-0.04
instruct,mmlu_stem,cais/mmlu:college_mathematics,100,42,49,0.42,0.49,0.07
instruct,mmlu_stem,cais/mmlu:college_physics,102,49,43,0.4803921568627451,0.4215686274509804,-0.058823529411764705
instruct,mmlu_stem,cais/mmlu:computer_security,100,68,65,0.68,0.65,-0.03
instruct,mmlu_stem,cais/mmlu:conceptual_physics,235,133,126,0.5659574468085107,0.5361702127659574,-0.029787234042553193
instruct,mmlu_stem,cais/mmlu:electrical_engineering,145,73,74,0.503448275862069,0.5103448275862069,0.006896551724137931
